time,u,v,w,p,q,r,phi,theta,psi,x,y,z,fx,fy,fz,mx,my,mz
1.82,10,0,0,0,0,0,0,0,0,18.3,0,0,0,0,0,0,0,0
1.83,10,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0
1.84,10,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0
1.85,10,0,0,0,0,0,0,0,0,18.6,0,0,0,0,0,0,0,0
1.86,10,0,0,0,0,0,0,0,0,18.7,0,0,0,0,0,0,0,0
1.87,10,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0
1.88,10,0,0,0,0,0,0,0,0,18.9,0,0,0,0,0,0,0,0
1.89,10,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
1.9,10,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0
1.91,10,0,0,0,0,0,0,0,0,19.2,0,0,0,0,0,0,0,0
1.92,10,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,0
1.93,10,0,0,0,0,0,0,0,0,19.4,0,0,0,0,0,0,0,0
1.94,10,0,0,0,0,0,0,0,0,19.5,0,0,0,0,0,0,0,0
1.95,10,0,0,0,0,0,0,0,0,19.6,0,0,0,0,0,0,0,0
1.96,10,0,0,0,0,0,0,0,0,19.7,0,0,0,0,0,0,0,0
1.97,10,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0
1.98,10,0,0,0,0,0,0,0,0,19.9,0,0,0,0,0,0,0,0
1.99,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
2,10,0,0,0,0,0,0,0,0,20.1,0,0,0,0,0,0,0,0
2.01,10,0.5,0,0,0,0,0,0,0,20.2,0.0025,0,0,50,0,0,0,0
2.02,10,1,0,0,0,0,0,0,0,20.3,0.01,0,0,50,0,0,0,0
2.03,10,1.5,0,0,0,0,0,0,0,20.4,0.0225,0,0,50,0,0,0,0
